Job,Education,InfoDeg,DateRange,Gender,WorkLevel
['Consultant'],"['Laurea Magistrale  LM', 'Ingegneria informatica', '110L', 'Laurea triennale', 'Ingegneria informatica']",Magistrale,"['2018', '2021', '2015', '2018']",F,Quadro
"['Mediatrice Linguistico - Culturale (Inglese)', 'Stage']","['Scienze politiche sociali e internazionali', 'Scienze Politiche', 'IB - International Baccalaureate']",Triennale,"['2012', '2018']",F,Impiegato
"['Rappresentante degli studenti', 'Sviluppatore Web Junior']","['Laurea triennale', 'Ingegneria informatica', 'Diploma Istituto Tecnico e Professionale', 'Informatica e Telecomunicazioni - Articolazione Informatica', 'Scienze Applicate - Indirizzo Informatica', 'Composizione', 'Chitarra Rock-Blues']",Triennale,"['2018', '2021', '2015', '2018', '2013', '2015', '2017', '2018', '2016', '2017']",M,Impiegato
"['Sviluppatore Android', 'Frontend Developer', 'Sviluppatore App', 'Stage studentesco', 'Istruttore', 'Studente', 'Studente', 'Studente']","['Laurea magistrale', 'Ingegneria informatica', '110L', 'Laurea triennale', 'Ingegneria informatica', 'Maturità scientifica']",Magistrale,"['2017', '2019', '2013', '2017', '2008', '2013']",M,Impiegato
"['Sviluppatore di software', 'Sviluppatore di software']","['Laurea magistrale LM in ingegneria informatica', 'Ingegneria informatica', 'Laurea triennale in Ingegneria e Scienze  informatiche', 'Ingegneria informatica']",Magistrale,[],M,Impiegato
"['Progettista software', 'Tutor del Corso di Studi in Ingegneria Informatica Magistrale', 'Tutor del Corso di Studi in Ingegneria Informatica', 'Programmatore software', 'Programmatore software', 'Programmatore software']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110/110 con Lode', 'Laurea Triennale', 'Ingegneria informatica', '108/110', 'Diploma Istituto Tecnico e Professionale', 'Amministrazione, finanza e marketing articolazione Sistemi Informativi Aziendali', '100/100']",Magistrale,"['2018', '2021', '2015', '2018', '2010', '2015']",M,Quadro
"[""Intern for Master's Thesis"", 'Software Developer in Cyber Security']","[""Master's degree"", 'Computer Engineering', ""Bachelor's degree"", 'Computer Engineering', '102']",Magistrale,"['2019', '2022', '2015', '2019']",M,Impiegato
['Sviluppatore di software'],"['Laurea magistrale LM', 'Ingegneria informatica', 'Laurea in Ingegneria Informatica', 'Ingegneria informatica']",Magistrale,"['2019', '2022', '2014', '2019', '2009', '2014']",M,Impiegato
['Software Developer'],"['Laurea triennale', 'Ingegneria e scienze informatiche', '86', 'Laurea Magistrale', 'Scienze e tecnologie alimentari', '108']",Triennale,"['2014', '2019', '2007', '2010']",M,Impiegato
['Sviluppatore Web IT'],"['Laurea Magistrale LM in Ingegneria e Scienze Informatiche', 'Ingegneria e Scienze Informatiche', 'Laurea triennale in Scienze e Tecnologie Informatiche', 'Informatica Per Il Management', 'Diploma Istituto Tecnico', 'Elettronica']",Magistrale,"['2020', '2022', '2016', '2019', '2011', '2016']",M,Impiegato
"['Software Developer', 'Junior Software Developer']","['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', 'Laurea triennale', 'Ingegneria e Scienze Informatiche', '97/100', 'Perito informatico']",Magistrale,"['2021', '2023', '2018', '2021']",M,Impiegato
"['Mobile Developer', 'Tirocinante']","['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', '98/110', 'Scienze e Tecnologie Informatiche', 'Scienze informatiche']",Magistrale,"['2015', '2018', '2011', '2014', '2006', '2011']",F,Impiegato
"['Programme coordinator', 'Projects Manager', 'Responsible Master MIREES Secretary']","['Laurea in Scienze Internazionali e Diplomatiche', 'Facoltà di Scienze Politiche ""R. Ruffilli""']",Triennale,"['2005', '2009', '1996', '2003']",F,Quadro
"['Sviluppatore Web', 'Studente tirocinante', 'Fattorino']","['Laurea Magistrale  LM  in scienze e tecnologie informatiche', 'Ingegneria e scienze informatiche LM', 'Laurea L in Scienze e Tecnologie Informatiche', 'Ingegneria e scienze informatiche', '81/110', 'Diploma Istituto Tecnico e Professionale', 'Ragioniere perito informatico', '66/100', '1° ciclo -  Laurea L', 'Corno Francese']",Magistrale,"['2020', '2023', '2013', '2020', '2006', '2013']",M,Impiegato
"['Mobile Software Engineer', 'Software Engineer Intern', 'First Ascent Italy 2019 Attendee', 'Software Engineer', 'Software Engineer Intern']","[""Master's degree student"", 'Magistrale di Ingegneria e Scienze Informatiche', '//TODO fix later', ""Bachelor's degree"", 'Ingegneria e Scienze Informatiche', '110/110 with Honors']",Magistrale,"['2018', '2021', '2014', '2018']",M,Quadro
"['Developer, Tester & Product Specialist']","['Laurea Magistrale', 'Ingegneria e Scienze Informatiche', '105/110', 'Laurea', 'Scienze e Tecnologie Informatiche', '106/110']",Magistrale,"['2014', '2017', '2011', '2014']",M,Quadro
"['Consulente informatico', 'Cassiere vendite']","['Laurea Magistrale  LM', 'Ingegneria informatica', 'Laurea', 'Ingegneria e Scienze informatiche', 'Laurea Triennale', 'Ingegneria e Scienze Informatiche']",Magistrale,"['2020', '2022', '2017', '2020']",M,Quadro
"['Junior Data Analyst', 'Università di Bologna', 'Tutor didattico', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', '110 e lode', 'Laurea triennale', 'Ingegneria e Scienze Informatiche', '110 e lode', 'Diploma di Maturità', '100']",Magistrale,"['2016', '2018', '2013', '2016', '2009', '2013']",F,Impiegato
"['Consulente junior', 'Content Writer', 'Tirocinante estivo', 'Tirocinante estivo', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', '110 e Lode', 'Laurea triennale', 'Ingegneria e Scienze Informatiche', '95/110', 'Diploma', 'Sistemi Informativi Aziendali', '100/100']",Magistrale,"['2018', '2021', '2015', '2018', '2009', '2015']",M,Impiegato
"['ICONSULTING', 'Analista Programmatore', 'Tirocinante estivo']","['Laurea Magistrale in Ingegneria e Scienze Informatiche', 'Ingegneria e Scienze Informatiche', '90', 'Laurea triennale in Scienze e Tecnologie Informatiche', 'Scienze informatiche', '95/110', 'Perito Industriale Capotecnico', 'Informatica', '76/100']",Magistrale,"['2015', '2017', '2010', '2014', '2005', '2010']",M,Quadro
['Junior Software Developer'],"['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche, Campus di Cesena', '97/110', 'Laurea triennale', 'Scienze e tecnologie informatiche, Campus di Cesena', '95/110', 'Diploma']",Magistrale,"['2015', '2019', '2011', '2015', '2005', '2010']",M,Impiegato
['commercialista'],['Scienze politiche'],Triennale,[],M,Quadro
['IT Consultant'],"['Laurea Magistrale', 'Artificial Intelligence', 'Scienze informatiche', '109/110']",Magistrale,"['2020', '2022', '2017', '2020']",M,Quadro
['Sviluppatore software IT'],"['Laurea Magistrale  LM', 'Ingegneria e scienze informatiche', 'Laurea triennale', 'Ingegneria e scienze informatiche', '90']",Magistrale,"['2018', '2021', '2015', '2018']",M,Impiegato
"['ANTREEM', 'Tirocinio curricolare']","['Laurea magistrale LM', 'Ingegneria e Scienze Informatiche', '110/110 e lode', 'Laurea triennale', 'Ingegneria e Scienze informatiche', '110/110 e lode', 'Diploma di scuola superiore', 'Perito elettronico', '100/100 e Lode']",Magistrale,"['2018', '2021', '2015', '2018', '2010', '2015']",M,Quadro
"['Software Engineer', 'Magazziniere', 'Impiegato Ufficio Protocollo', 'Impiegato in ufficio']","['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', 'Laurea triennale', 'Ingegneria e Scienze Informatiche', 'Diploma Istituto Tecnico e Professionale', 'Ragioneria - Sistemi Informativi Aziendali']",Magistrale,"['2019', '2021', '2016', '2019', '2011', '2016']",M,Quadro
"['analista programmatore', 'Liceo Vincenzo Monti Cesena', 'stagista', 'Docente per corsi di recupero']","['Laurea Magistrale  LM', 'ingegneria e scienze informatiche', '106', 'Laurea Magistrale in Matematica', 'Matematica', '105/110', 'Laurea Magistrale  LM', 'Matematica', '105']",Magistrale,"['2014', '2017', '2011', '2013', '2011', '2013']",F,Quadro
['Software Engineer'],"['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', '110L', 'Laurea', 'Ingegneria e Scienza Informatiche', '105']",Magistrale,"['2017', '2020', '2014', '2017']",M,Quadro
"['Software Engineer', 'Professor', 'Docente a contratto', 'Professore', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Ingegneria e scienze informatiche', '110/110 e lode', 'Computer Science and Engineering', 'Ingegneria e scienze informatiche', 'Ingegneria informatica', '107/110']",Magistrale,"['2017', '2020', '2019', '2019', '2014', '2017']",M,Quadro
['Flutter Software Engineer'],"['Laurea Magistrale  LM', 'Ingegneria e scienze Informatiche', '110 e lode']",Magistrale,"['2016', '2020']",M,Quadro
"['Full Stack Engineer', 'Sviluppatore web fullstack freelance', 'IT Consultant', 'Full Stack Engineer', 'Co Founder']","['Laurea Magistrale  LM  in scienze e tecnologie informatiche', '110 e Lode', 'Laurea triennale', 'Scienze informatiche']",Magistrale,"['2016', '2020', '2012', '2016']",M,Quadro
"['Junior Data Analyst', 'Web Game designer', 'R&D Trainee']","[""Master's degree"", 'Ingegneria e scienze informatiche', ""Bachelor's degree"", 'Informatica Applicata', '110 with honors', 'Sistemi informativi aziendali', '100']",Magistrale,"['2019', '2021', '2015', '2018', '2010', '2015']",M,Impiegato
"['Gestore Corporate senior', 'Certified Life Coach', 'SENIOR CORPORATE', 'resp comm.le ER', 'credit manager']",['Scienze politiche'],Triennale,"['1989', '1998']",F,Quadro
"['Software Engineer', 'Sviluppatore software', 'Promoter Epson', 'Steward']","['Laura magistrale', 'Ingegneria e scienze informatiche', 'Erasmus Plus', 'Laurea triennale', 'Informatica']",Magistrale,"['2014', '2017', '2016', '2017', '2009', '2014']",M,Quadro
"['Data Science Analyst', 'Software Engineer', 'Intern']","[""Master's degree"", 'Computer Science', '(110L)', ""Bachelor's degree"", 'Computer Science', '104/110', 'High School Diploma', '100']",Magistrale,"['2015', '2021', '2015', '2018', '2010', '2015']",M,Impiegato
"['IT Specialist', 'Cameriera', 'Assistant Web Developer', 'Facilitatore']","['Laurea triennale', 'Ingegneria e Scienze Informatiche', '91/110', 'Perito informatico', 'Informatica', '79/100']",Triennale,"['2016', '2020', '2010', '2015']",F,Quadro
"['Software Engineer', 'Software Engineer', 'Arbitro di calcio', 'Software Engineer', 'Internship Trainee']","['Laurea Magistrale in Ingegneria Informatica', 'Ingegneria informatica', '105/110', 'Laurea breve in Scienze e Tecnologie Informatiche', 'Ingegneria', 'Informatica', '75/100']",Magistrale,"['2018', '2020', '2012', '2016', '2008', '2012']",M,Quadro
"['Full Stack Developer', 'Consulente informatico', 'Sviluppatore Web']","['Dottore in Ingegneria e Scienze Informatiche', 'Tecnologie e scienze informatiche', '94']",Triennale,"['2014', '2018']",M,Impiegato
['Back-end Developer'],"['Laurea triennale', 'Ingegneria scienze informatiche']",Triennale,['2019'],M,Impiegato
['Software Engineer'],"['Laurea Magistrale  LM', 'Ingegneria informatica', '110L', 'Laurea triennale', 'Scienze informatiche', '110L']",Magistrale,"['2018', '2021', '2015', '2018']",M,Quadro
"['Full-stack Developer', 'Full-stack Developer and Software Engineer']","['Laurea Magistrale  LM', 'Ingegneria e scienze informatiche', 'Laurea triennale', 'Ingegneria e scienze informatiche', '100']",Magistrale,"['2020', '2022', '2017', '2020']",M,Quadro
"['Software Developer', 'Software Engineer']","['Laurea Magistrale LM in Ingegneria e Scienze Informatiche', 'Ingegneria e Scienze Informatiche', 'laurea breve in ingegneria e scienze informatiche', 'Ingegneria informatica']",Magistrale,"['2017', '2021', '2014', '2017']",M,Impiegato
"['Modis', 'Tirocinio Formativo']","['Laurea', 'Scienze informatiche', '102/110']",Triennale,"['2015', '2018']",M,Impiegato
"['Programme coordinator', 'Projects Manager', 'Responsible Master MIREES Secretary']","['Laurea in Scienze Internazionali e Diplomatiche', 'Facoltà di Scienze Politiche ""R. Ruffilli""']",Triennale,"['2005', '2009', '1996', '2003']",F,Quadro
['Programmatore software'],"['Laurea Magistrale  LM', 'Informatica', 'Laurea triennale', 'Ingegneria e Scienze Informatiche', '92', 'Ragioniere', 'Sistemi Informativi Aziendali', '98']",Magistrale,"['2019', '2021', '2015', '2019', '2010', '2015']",M,Impiegato
"['DevOps Consultant', 'Systems Engineer', 'CED Employee']","['Laura magistrale', 'Ingegneria informatica', 'Laurea breve in Scienze e Tecnologie Informatiche', 'Ingegneria informatica', '99']",Magistrale,"['2017', '2020', '2014', '2017']",M,Quadro
"['Programmatore Web', 'Studente tirocinante', 'Studente tirocinante', 'Studente tirocinante']","['Laurea Magistrale  LM  in scienze e tecnologie informatiche', 'Ingegneria informatica', 'Laurea triennale in Scienze e Tecnologie Informatiche', 'Scienze informatiche', 'Ragioniere perito Commerciale e Programmatore', 'Ragioneria']",Magistrale,"['2017', '2020', '2013', '2017', '2008', '2013']",M,Impiegato
['Java Software Engineer'],"['Ingegneria e scienze informatiche', 'Ingegneria informatica']",Triennale,"['2017', '2021']",M,Impiegato
"['Software Engineer', 'Software Engineer', 'Software Engineer', 'Software Engineer', 'Software Engineer']","['Laurea', 'Ingegneria informatica', '97/100', 'Diploma', 'Informatica']",Triennale,"['1989', '1994', '1984', '1988']",M,Quadro
"['Sviluppatore Web', 'Sviluppatore Web']","['Laurea in Tecnologie e Scienze Informatiche', 'Informatica', 'Laurea magistrale', 'Ingegneria e scienze informatiche']",Magistrale,"['2016', '2020', '2020']",M,Impiegato
"['Software Engineer', 'Studente tirocinante']","['Laurea Magistrale', 'Ingegneria e Scienze Informatiche', '110/110 con lode', 'Laurea', 'Ingegneria e Scienze Informatiche', '110/110 con lode', 'Diploma', 'Informatica', '100/100']",Magistrale,"['2018', '2021', '2015', '2018', '2010', '2015']",M,Quadro
"['Full Stack Engineer', 'Studente tirocinante', 'Collaboratrice - addetta alla sala', 'Docente per il corso di Coding nella scuola secondaria', 'Associazione Studentesca S.P.R.I.Te']","['Laurea Magistrale in Ingegneria e Scienze Informatiche', '110 e lode', 'Laurea triennale in Ingegneria e Scienze Informatiche', 'Scienze informatiche', 'Diploma Scuola Secondaria di II Grado', 'Liceo Sociopsicopedagogico']",Magistrale,"['2017', '2020', '2013', '2017', '2007', '2013']",F,Quadro
"['Software Engineer', 'Insegnante di chitarra']","['Laurea Magistrale', 'Ingegneria e Scienze Informatiche', '110 e lode', 'Laurea triennale', 'Ingegneria e Scienze Informatiche', '110 e lode']",Magistrale,"['2015', '2017', '2012', '2015']",M,Quadro
"['Cyber Security Consultant', 'IT Collaborator', 'Software Developer']","['Laurea Magistrale', 'Ingegneria e scienze informatiche', 'Laurea triennale', 'Ingegneria e scienze informatiche', 'Diploma Scuola Secondaria di II Grado', 'Ragioniere programmatore']",Magistrale,"['2017', '2020', '2013', '2017', '2007', '2013']",M,Quadro
"['Sales Manager', 'Sales developer', 'Responsabile Area Espansione']","['Scienze Politiche', 'Politiche sociali e Politiche sanitarie (Laurea Magistrale)', 'Scienze Politiche', 'Scienze Criminologiche per la sicurezza (Laurea triennale)']",Magistrale,"['2008', '2010', '2004', '2008']",M,Dirigente
"['Junior Software Engineer', 'Tutor Didattico CDLM Ingegneria e Scienze Informatiche']","['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', '110 e Lode', 'Laurea Triennale', 'Ingegneria e Scienze Informatiche']",Magistrale,"['2017', '2019', '2014', '2017']",M,Impiegato
"['Software Engineer', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Ingegneria informatica', '108/110', 'Laurea triennale', 'Ingegneria informatica', '100/110']",Magistrale,"['2018', '2021', '2015', '2018', '2010', '2015']",F,Quadro
"['Sviluppatore', 'Sviluppatore', 'Tirocinante sviluppatore applicazioni mobile iOS']","['Laurea Magistrale  LM', 'Ingegneria informatica']",Magistrale,"['2012', '2015', '2008', '2012']",M,Impiegato
"['Software Developer', 'Performance Management & BI Consultant', 'Sviluppatore web', 'Programmatore', 'Programmatore']","['Dottore in Scienze e Tecnologie Informatiche', 'Informatica', ""Dottore in Scienze dell'informazione"", 'Informatica', ""Laurea Triennale in Scienze dell'Informazione"", 'Informatica']",Triennale,"['2009', '2012', '2003', '2011', '2003', '2009']",M,Impiegato
"['Assistant Web Developer', 'Receptionist hotel', 'Tecnical Marketing manager', 'Food Deliverer']","['1° ciclo -  Laurea L', 'Ingegneria e scienze informatiche']",Triennale,"['2018', '2021', '2012', '2015']",M,Impiegato
"['Sviluppatore Software', 'Creatore di contenuti online', 'Programmatore informatico', 'Stagista', 'Stagista']","['Laurea in Informatica', 'Informatica', '103', 'Matematica', 'Perito Informatico', 'Diploma di Perito Informatico', '100/100']",Triennale,"['2017', '2021', '2016', '2019', '2013', '2016']",M,Impiegato
['IT Consultant'],"['Laurea Magistrale  LM', 'Ingegneria informatica', 'Laurea triennale', 'Ingegneria informatica']",Magistrale,"['2015', '2018', '2012', '2015']",M,Quadro
